assay,cq,day,run,id,dilution,sample,target,gu_well,area_vol,gu_conc,lod
16s rrna,20.2144690952521,two,run 2a,s_c_1,1,initial,total_cyano,71584.31662120117,10,3579215.8310600584,450
16s rrna,22.0094555507511,one,run 1a,s_a_1,2,initial,total_cyano,42647.81725490479,10,2132390.8627452394,450
16s rrna,24.511604215004,one,run 1a,c_a_1,2,control,total_cyano,7883.867493396968,10,394193.37466984836,450
16s rrna,22.1766672131986,one,run 1a,ac_a_1,2,acrylic_copolymer,total_cyano,38097.977831134085,4.908738521234052,3880628.155923479,916.7324722093172
16s rrna,24.1551687840875,one,run 1a,s_a_2,2,initial,total_cyano,10027.181516303177,10,501359.0758151588,450
16s rrna,24.1370833386491,one,run 1a,s_a_3,2,initial,total_cyano,10150.282140656753,10,507514.10703283764,450
16s rrna,22.8611492692399,one,run 2a,s_c_1,2,initial,total_cyano,24007.17403923886,10,1200358.701961943,450
16s rrna,27.6439787711714,one,run 1a,c_a_2,2,control,total_cyano,952.6176022424492,10,47630.88011212246,450
16s rrna,27.6344107388682,one,run 1a,c_a_3,2,control,total_cyano,958.7870119902514,10,47939.35059951257,450
16s rrna,23.0565537391984,one,run 1a,ac_a_2,2,acrylic_copolymer,total_cyano,21041.919254307606,4.908738521234052,2143312.2953366935,916.7324722093172
16s rrna,23.0943066967079,one,run 1a,ac_a_3,2,acrylic_copolymer,total_cyano,20512.7228236712,4.908738521234052,2089408.7895431758,916.7324722093172
16s rrna,21.7537458774563,one,run 1a,cn_a_1,2,cellulose_nitrate,total_cyano,50678.36528616897,4.908738521234052,5162055.899590724,916.7324722093172
16s rrna,21.835040763607,one,run 1a,cn_a_2,2,cellulose_nitrate,total_cyano,47973.59764171633,4.908738521234052,4886550.529651742,916.7324722093172
16s rrna,21.9047790968062,one,run 1a,cn_a_3,2,cellulose_nitrate,total_cyano,45768.657965483275,4.908738521234052,4661957.218488905,916.7324722093172
16s rrna,28.466497393047,one,run 1a,g_a_1,2,gauze,total_cyano,546.9044578629566,4.908738521234052,55707.230635444954,916.7324722093172
16s rrna,28.8201922003061,one,run 1a,g_a_2,2,gauze,total_cyano,430.7992477143254,4.908738521234052,43880.85104256307,916.7324722093172
16s rrna,28.4804289555479,one,run 1a,g_a_3,2,gauze,total_cyano,541.7879729926971,4.908738521234052,55186.069766096654,916.7324722093172
16s rrna,19.1200492084687,one,run 1b,s_b_1,2,initial,total_cyano,299588.48981132667,10,14979424.490566334,450
16s rrna,19.0976183859884,one,run 1b,s_b_2,2,initial,total_cyano,304156.8523686433,10,15207842.618432164,450
16s rrna,19.1125369259142,one,run 1b,s_b_3,2,initial,total_cyano,301110.7817602719,10,15055539.088013593,450
16s rrna,24.775253685414,one,run 1b,c_b_1,2,control,total_cyano,6599.13599164288,10,329956.799582144,450
16s rrna,24.7534135098378,one,run 1b,c_b_2,2,control,total_cyano,6697.095522463729,10,334854.77612318646,450
16s rrna,24.7000874680204,one,run 1b,c_b_3,2,control,total_cyano,6942.431750882541,10,347121.587544127,450
16s rrna,20.5565698033861,one,run 1b,ac_b_1,2,acrylic_copolymer,total_cyano,113660.23570845001,4.908738521234052,11577336.541433454,916.7324722093172
16s rrna,20.5867733973042,one,run 1b,ac_b_2,2,acrylic_copolymer,total_cyano,111367.52346418632,4.908738521234052,11343802.789905852,916.7324722093172
16s rrna,20.4879625871867,one,run 1b,ac_b_3,2,acrylic_copolymer,total_cyano,119045.02008178526,4.908738521234052,12125826.173753645,916.7324722093172
16s rrna,22.3575020139069,one,run 1b,cn_b_1,2,cellulose_nitrate,total_cyano,33722.154152947776,4.908738521234052,3434910.416095056,916.7324722093172
