date,location,target,assay,conc,type,frequency,lod
2021-07-13,inlet,total_cyano,16s rrna,1157580.373182551,passive,weekly,260
2021-07-13,outlet,total_cyano,16s rrna,840699.017496502,passive,weekly,260
2021-07-13,inlet,total_cyano,16s rrna,119847.99517405743,grab,weekly,180
2021-07-13,outlet,total_cyano,16s rrna,96933.15145586943,grab,weekly,180
2021-07-13,inlet,cyra,toxins,28.039632345407632,passive,weekly,260
2021-07-13,outlet,cyra,toxins,7.576115779257959,passive,weekly,260
2021-07-13,inlet,cyra,toxins,NA,grab,weekly,180
2021-07-13,outlet,cyra,toxins,NA,grab,weekly,180
2021-07-13,inlet,sxta,toxins,NA,passive,weekly,260
2021-07-13,outlet,sxta,toxins,NA,passive,weekly,260
2021-07-13,inlet,sxta,toxins,NA,grab,weekly,180
2021-07-13,outlet,sxta,toxins,NA,grab,weekly,180
2021-07-13,outlet,mcye_ndaf,toxins,NA,passive,weekly,260
2021-07-13,inlet,mcye_ndaf,toxins,98.35494200477986,grab,weekly,180
2021-07-13,outlet,mcye_ndaf,toxins,59.26708186388176,grab,weekly,180
2021-07-15,intake,total_cyano,16s rrna,961542.4065018735,passive,weekly,260
2021-07-15,intake,cyra,toxins,NA,passive,weekly,260
2021-07-15,intake,sxta,toxins,NA,passive,weekly,260
2021-07-15,intake,mcye_ndaf,toxins,3093.382899584666,passive,weekly,260
2021-07-20,inlet,total_cyano,16s rrna,88812.52706576644,grab,weekly,180
2021-07-20,outlet,total_cyano,16s rrna,68796.72974066478,grab,weekly,180
2021-07-20,inlet,total_cyano,16s rrna,526745.769497178,passive,weekly,260
2021-07-20,inlet,total_cyano,16s rrna,455869.60477544466,passive,bi-weekly,260
2021-07-20,outlet,total_cyano,16s rrna,1167368.5650299771,passive,weekly,260
2021-07-20,outlet,total_cyano,16s rrna,2670404.759680373,passive,bi-weekly,260
2021-07-20,inlet,cyra,toxins,NA,grab,weekly,180
2021-07-20,outlet,cyra,toxins,NA,grab,weekly,180
2021-07-20,inlet,cyra,toxins,NA,passive,weekly,260
2021-07-20,inlet,cyra,toxins,NA,passive,bi-weekly,260
2021-07-20,outlet,cyra,toxins,84.12961266055483,passive,weekly,260
2021-07-20,outlet,cyra,toxins,NA,passive,bi-weekly,260
2021-07-20,inlet,sxta,toxins,NA,grab,weekly,180
2021-07-20,outlet,sxta,toxins,NA,grab,weekly,180
2021-07-20,inlet,sxta,toxins,NA,passive,weekly,260
2021-07-20,inlet,sxta,toxins,NA,passive,bi-weekly,260
2021-07-20,outlet,sxta,toxins,7.991304752209299,passive,weekly,260
2021-07-20,outlet,sxta,toxins,NA,passive,bi-weekly,260
2021-07-20,inlet,mcye_ndaf,toxins,63.3147141066697,grab,weekly,180
2021-07-20,outlet,mcye_ndaf,toxins,88.28465243597915,grab,weekly,180
2021-07-20,inlet,mcye_ndaf,toxins,NA,passive,weekly,260
2021-07-20,inlet,mcye_ndaf,toxins,NA,passive,bi-weekly,260
2021-07-20,outlet,mcye_ndaf,toxins,64.81607408166185,passive,weekly,260
2021-07-20,outlet,mcye_ndaf,toxins,NA,passive,bi-weekly,260
2021-07-22,intake,total_cyano,16s rrna,863890.3932723032,passive,weekly,260
2021-07-22,intake,cyra,toxins,NA,passive,weekly,260
2021-07-22,intake,sxta,toxins,NA,passive,weekly,260
2021-07-22,intake,mcye_ndaf,toxins,989.6280824680119,passive,weekly,260
2021-07-27,inlet,total_cyano,16s rrna,413800.47177633183,passive,weekly,260
2021-07-27,outlet,total_cyano,16s rrna,920888.3448847814,passive,weekly,260
2021-07-27,inlet,total_cyano,16s rrna,128834.91753158186,grab,weekly,180
2021-07-27,outlet,total_cyano,16s rrna,144106.30214827275,grab,weekly,180
2021-07-27,inlet,cyra,toxins,814.3692736460267,passive,weekly,260
2021-07-27,outlet,cyra,toxins,NA,passive,weekly,260
2021-07-27,inlet,cyra,toxins,NA,grab,weekly,180
2021-07-27,outlet,cyra,toxins,6.312624787152882,grab,weekly,180
2021-07-27,inlet,sxta,toxins,NA,passive,weekly,260
2021-07-27,outlet,sxta,toxins,NA,passive,weekly,260
2021-07-27,inlet,sxta,toxins,NA,grab,weekly,180
2021-07-27,outlet,sxta,toxins,NA,grab,weekly,180
2021-07-27,inlet,mcye_ndaf,toxins,72.52958778460611,passive,weekly,260
2021-07-27,outlet,mcye_ndaf,toxins,41.25857653380989,passive,weekly,260
2021-07-27,inlet,mcye_ndaf,toxins,176.12499087078282,grab,weekly,180
2021-07-27,outlet,mcye_ndaf,toxins,886.3485080257699,grab,weekly,180
2021-07-28,intake,total_cyano,16s rrna,917941.458749899,passive,weekly,260
2021-07-28,intake,cyra,toxins,134.2725265525872,passive,weekly,260
2021-07-28,intake,sxta,toxins,NA,passive,weekly,260
2021-07-28,intake,mcye_ndaf,toxins,26680.941598651872,passive,weekly,260
2021-08-03,inlet,total_cyano,16s rrna,1819662.476457634,passive,bi-weekly,260
2021-08-03,outlet,total_cyano,16s rrna,308102.00370503735,passive,weekly,260
2021-08-03,outlet,total_cyano,16s rrna,476162.102526812,passive,bi-weekly,260
2021-08-03,inlet,total_cyano,16s rrna,73707.72993604955,grab,weekly,180
2021-08-03,outlet,total_cyano,16s rrna,107574.28827550203,grab,weekly,180
2021-08-03,inlet,total_cyano,16s rrna,324612.82281204715,passive,weekly,260
2021-08-03,inlet,cyra,toxins,69.0711728062364,passive,bi-weekly,260
2021-08-03,outlet,cyra,toxins,1010.3724709546035,passive,weekly,260
2021-08-03,outlet,cyra,toxins,NA,passive,bi-weekly,260
2021-08-03,inlet,cyra,toxins,6.566708102633147,grab,weekly,180
2021-08-03,outlet,cyra,toxins,NA,grab,weekly,180
2021-08-03,inlet,sxta,toxins,NA,passive,bi-weekly,260
2021-08-03,outlet,sxta,toxins,NA,passive,weekly,260
2021-08-03,outlet,sxta,toxins,NA,passive,bi-weekly,260
2021-08-03,inlet,sxta,toxins,NA,grab,weekly,180
2021-08-03,outlet,sxta,toxins,NA,grab,weekly,180
2021-08-03,inlet,mcye_ndaf,toxins,30.45218897066558,passive,bi-weekly,260
2021-08-03,outlet,mcye_ndaf,toxins,31.95694490830141,passive,weekly,260
2021-08-03,outlet,mcye_ndaf,toxins,NA,passive,bi-weekly,260
2021-08-03,inlet,mcye_ndaf,toxins,228.25699798502492,grab,weekly,180
2021-08-03,outlet,mcye_ndaf,toxins,811.0636123716014,grab,weekly,180
2021-08-03,inlet,cyra,toxins,1474.0509990655944,passive,weekly,260
2021-08-03,inlet,sxta,toxins,NA,passive,weekly,260
2021-08-03,inlet,mcye_ndaf,toxins,NA,passive,weekly,260
2021-08-05,intake,total_cyano,16s rrna,959927.4299026692,passive,weekly,260
2021-08-05,intake,cyra,toxins,NA,passive,weekly,260
2021-08-05,intake,sxta,toxins,NA,passive,weekly,260
2021-08-05,intake,mcye_ndaf,toxins,18054.76297303043,passive,weekly,260
2021-08-10,inlet,total_cyano,16s rrna,141911.20846818743,grab,weekly,180
2021-08-10,outlet,total_cyano,16s rrna,185593.6044316189,grab,weekly,180
