well,fluor,target,content,sample,date,biological_set_name,cq,cq_mean,cq_std._dev,starting_quantity_(sq),log_starting_quantity,sq_mean,sq_std._dev,set_point,well_note,file_name,run,id,dilution,location,type,frequency
a01,cal orange 560,iac,pos ctrl,NA,NA,16s rrna,33.8785588526097,33.8785588526097,0,NA,NA,NA,0,60,NA,cyanodtec_16s_adsorption_dilutions_ts_results,NA,NA,NA,NA,NA,NA
a06,cal orange 560,iac,unkn,m1,NA,16s rrna,31.4428930853056,31.4428930853056,0,NA,NA,NA,0,60,NA,cyanodtec_16s_adsorption_dilutions_ts_results,NA,NA,NA,m1,NA,NA
b06,cal orange 560,iac,unkn,m1,NA,16s rrna,31.3788987290798,31.3788987290798,0,NA,NA,NA,0,60,NA,cyanodtec_16s_adsorption_dilutions_ts_results,NA,NA,NA,m1,NA,NA
c06,cal orange 560,iac,unkn,m1,NA,16s rrna,32.8851901279475,32.8851901279475,0,NA,NA,NA,0,60,NA,cyanodtec_16s_adsorption_dilutions_ts_results,NA,NA,NA,m1,NA,NA
e06,cal orange 560,iac,unkn,m1,NA,16s rrna,32.2340616829828,32.2340616829828,0,NA,NA,NA,0,60,NA,cyanodtec_16s_adsorption_dilutions_ts_results,NA,NA,NA,m1,NA,NA
f06,cal orange 560,iac,unkn,m1,NA,16s rrna,32.5840644664847,32.5840644664847,0,NA,NA,NA,0,60,NA,cyanodtec_16s_adsorption_dilutions_ts_results,NA,NA,NA,m1,NA,NA
g06,cal orange 560,iac,unkn,m1,NA,16s rrna,33.2977426879369,33.2977426879369,0,NA,NA,NA,0,60,NA,cyanodtec_16s_adsorption_dilutions_ts_results,NA,NA,NA,m1,NA,NA
h12,cal orange 560,iac,ntc,NA,NA,16s rrna,34.0345508139607,34.0345508139607,0,NA,NA,NA,0,60,NA,cyanodtec_16s_adsorption_dilutions_ts_results,NA,NA,NA,NA,NA,NA
a01,fam,total_cyano,pos ctrl,NA,NA,16s rrna,22.0982388334236,22.0982388334236,0,NA,NA,NA,0,60,NA,cyanodtec_16s_adsorption_dilutions_ts_results,NA,NA,NA,NA,NA,NA
a06,fam,total_cyano,unkn,m1,NA,16s rrna,22.0094555507511,22.0094555507511,0,NA,NA,NA,0,60,NA,cyanodtec_16s_adsorption_dilutions_ts_results,NA,NA,NA,m1,NA,NA
b06,fam,total_cyano,unkn,m1,NA,16s rrna,24.511604215004,24.511604215004,0,NA,NA,NA,0,60,NA,cyanodtec_16s_adsorption_dilutions_ts_results,NA,NA,NA,m1,NA,NA
c06,fam,total_cyano,unkn,m1,NA,16s rrna,22.1766672131986,22.1766672131986,0,NA,NA,NA,0,60,NA,cyanodtec_16s_adsorption_dilutions_ts_results,NA,NA,NA,m1,NA,NA
e06,fam,total_cyano,unkn,m1,NA,16s rrna,24.6187125429062,24.6187125429062,0,NA,NA,NA,0,60,NA,cyanodtec_16s_adsorption_dilutions_ts_results,NA,NA,NA,m1,NA,NA
f06,fam,total_cyano,unkn,m1,NA,16s rrna,26.5006366273875,26.5006366273875,0,NA,NA,NA,0,60,NA,cyanodtec_16s_adsorption_dilutions_ts_results,NA,NA,NA,m1,NA,NA
g06,fam,total_cyano,unkn,m1,NA,16s rrna,24.5058219922684,24.5058219922684,0,NA,NA,NA,0,60,NA,cyanodtec_16s_adsorption_dilutions_ts_results,NA,NA,NA,m1,NA,NA
h12,fam,total_cyano,ntc,NA,NA,16s rrna,NA,0,0,NA,NA,0,0,60,NA,cyanodtec_16s_adsorption_dilutions_ts_results,NA,NA,NA,NA,NA,NA
a01,cal orange 560,iac,pos ctrl,NA,NA,16s rrna,33.1745146356403,33.1745146356403,0,NA,NA,NA,0,60,NA,cyanodtec_16s_fl_monc_adsorption_results,NA,NA,1,NA,NA,NA
f07,cal orange 560,iac,unkn,m1,NA,16s rrna,29.204585743875,29.204585743875,0,NA,NA,NA,0,60,NA,cyanodtec_16s_fl_monc_adsorption_results,c,s_c_1,1,m1,NA,NA
h12,cal orange 560,iac,ntc,NA,NA,16s rrna,32.5288624982885,32.5288624982885,0,NA,NA,NA,0,60,NA,cyanodtec_16s_fl_monc_adsorption_results,NA,NA,1,NA,NA,NA
a01,fam,total_cyano,pos ctrl,NA,NA,16s rrna,21.6852877797646,21.6852877797646,0,NA,NA,NA,0,60,NA,cyanodtec_16s_fl_monc_adsorption_results,NA,NA,1,NA,NA,NA
f07,fam,total_cyano,unkn,m1,NA,16s rrna,20.2144690952521,20.2144690952521,0,NA,NA,NA,0,60,NA,cyanodtec_16s_fl_monc_adsorption_results,c,s_c_1,1,m1,NA,NA
h12,fam,total_cyano,ntc,NA,NA,16s rrna,NA,0,0,NA,NA,0,0,60,NA,cyanodtec_16s_fl_monc_adsorption_results,NA,NA,1,NA,NA,NA
a01,cal orange 560,iac,pos ctrl,NA,NA,16s rrna,33.8785588526097,33.8785588526097,0,NA,NA,NA,NA,NA,NA,cyanodtec_16s_fl_monc_adsorption_results,NA,NA,1,NA,NA,NA
a06,cal orange 560,iac,unkn,m1,NA,16s rrna,31.4428930853056,31.4428930853056,0,NA,NA,NA,NA,NA,NA,cyanodtec_16s_fl_monc_adsorption_results,a,s_a_1,2,m1,NA,NA
