date,location,target,assay,conc,type,frequency,lod,label
2021-07-13,Inlet,16S rRNA,16s rrna,1157580.373182551,Passive,Weekly,260,NA
2021-07-13,Outlet,16S rRNA,16s rrna,840699.017496502,Passive,Weekly,260,NA
2021-07-13,Inlet,16S rRNA,16s rrna,119847.99517405743,Grab,Weekly,180,NA
2021-07-13,Outlet,16S rRNA,16s rrna,96933.15145586943,Grab,Weekly,180,NA
2021-07-13,Inlet,cyrA,toxins,28.039632345407632,Passive,Weekly,260,italic(`cyrA`)
2021-07-13,Outlet,cyrA,toxins,7.576115779257959,Passive,Weekly,260,italic(`cyrA`)
2021-07-13,Inlet,cyrA,toxins,NA,Grab,Weekly,180,italic(`cyrA`)
2021-07-13,Outlet,cyrA,toxins,NA,Grab,Weekly,180,italic(`cyrA`)
2021-07-13,Inlet,sxtA,toxins,NA,Passive,Weekly,260,italic(`sxtA`)
2021-07-13,Outlet,sxtA,toxins,NA,Passive,Weekly,260,italic(`sxtA`)
2021-07-13,Inlet,sxtA,toxins,NA,Grab,Weekly,180,italic(`sxtA`)
2021-07-13,Outlet,sxtA,toxins,NA,Grab,Weekly,180,italic(`sxtA`)
2021-07-13,Outlet,mcyE/ndaF,toxins,NA,Passive,Weekly,260,italic(`mcyE/ndaF`)
2021-07-13,Inlet,mcyE/ndaF,toxins,98.35494200477986,Grab,Weekly,180,italic(`mcyE/ndaF`)
2021-07-13,Outlet,mcyE/ndaF,toxins,59.26708186388176,Grab,Weekly,180,italic(`mcyE/ndaF`)
2021-07-15,Intake,16S rRNA,16s rrna,961542.4065018735,Passive,Weekly,260,NA
2021-07-15,Intake,cyrA,toxins,NA,Passive,Weekly,260,italic(`cyrA`)
2021-07-15,Intake,sxtA,toxins,NA,Passive,Weekly,260,italic(`sxtA`)
2021-07-15,Intake,mcyE/ndaF,toxins,3093.382899584666,Passive,Weekly,260,italic(`mcyE/ndaF`)
2021-07-20,Inlet,16S rRNA,16s rrna,88812.52706576644,Grab,Weekly,180,NA
2021-07-20,Outlet,16S rRNA,16s rrna,68796.72974066478,Grab,Weekly,180,NA
2021-07-20,Inlet,16S rRNA,16s rrna,526745.769497178,Passive,Weekly,260,NA
2021-07-20,Inlet,16S rRNA,16s rrna,455869.60477544466,Passive,Bi-Weekly,260,NA
2021-07-20,Outlet,16S rRNA,16s rrna,1167368.5650299771,Passive,Weekly,260,NA
2021-07-20,Outlet,16S rRNA,16s rrna,2670404.759680373,Passive,Bi-Weekly,260,NA
2021-07-20,Inlet,cyrA,toxins,NA,Grab,Weekly,180,italic(`cyrA`)
2021-07-20,Outlet,cyrA,toxins,NA,Grab,Weekly,180,italic(`cyrA`)
2021-07-20,Inlet,cyrA,toxins,NA,Passive,Weekly,260,italic(`cyrA`)
2021-07-20,Inlet,cyrA,toxins,NA,Passive,Bi-Weekly,260,italic(`cyrA`)
2021-07-20,Outlet,cyrA,toxins,84.12961266055483,Passive,Weekly,260,italic(`cyrA`)
2021-07-20,Outlet,cyrA,toxins,NA,Passive,Bi-Weekly,260,italic(`cyrA`)
2021-07-20,Inlet,sxtA,toxins,NA,Grab,Weekly,180,italic(`sxtA`)
2021-07-20,Outlet,sxtA,toxins,NA,Grab,Weekly,180,italic(`sxtA`)
2021-07-20,Inlet,sxtA,toxins,NA,Passive,Weekly,260,italic(`sxtA`)
2021-07-20,Inlet,sxtA,toxins,NA,Passive,Bi-Weekly,260,italic(`sxtA`)
2021-07-20,Outlet,sxtA,toxins,7.991304752209299,Passive,Weekly,260,italic(`sxtA`)
2021-07-20,Outlet,sxtA,toxins,NA,Passive,Bi-Weekly,260,italic(`sxtA`)
2021-07-20,Inlet,mcyE/ndaF,toxins,63.3147141066697,Grab,Weekly,180,italic(`mcyE/ndaF`)
