well,fluor,target,content,sample,date,biological_set_name,cq,cq_mean,cq_std._dev,starting_quantity_(sq),log_starting_quantity,sq_mean,sq_std._dev,set_point,well_note,file_name,run,id,dilution,location,type,frequency
a11,cal orange 560,cyra,std-06,NA,NA,toxins,19.6192754612115,19.5156687000993,0.146522086718315,200000,5.30102999566398,200000,0,60,NA,cyanodtec_stdcurves_wlsample_110821_ts_results,NA,NA,NA,NA,NA,NA
a12,cal orange 560,cyra,std-06,NA,NA,toxins,19.4120619389872,19.5156687000993,0.146522086718315,200000,5.30102999566398,200000,0,60,NA,cyanodtec_stdcurves_wlsample_110821_ts_results,NA,NA,NA,NA,NA,NA
b11,cal orange 560,cyra,std-07,NA,NA,toxins,22.7481203994973,22.7698593439431,0.0307435100668814,20000,4.30102999566398,20000,0,60,NA,cyanodtec_stdcurves_wlsample_110821_ts_results,NA,NA,NA,NA,NA,NA
b12,cal orange 560,cyra,std-07,NA,NA,toxins,22.7915982883889,22.7698593439431,0.0307435100668814,20000,4.30102999566398,20000,0,60,NA,cyanodtec_stdcurves_wlsample_110821_ts_results,NA,NA,NA,NA,NA,NA
c11,cal orange 560,cyra,std-08,NA,NA,toxins,26.1192411812397,26.154362724465,0.049669362760674,2000,3.30102999566398,2000,0,60,NA,cyanodtec_stdcurves_wlsample_110821_ts_results,NA,NA,NA,NA,NA,NA
c12,cal orange 560,cyra,std-08,NA,NA,toxins,26.1894842676903,26.154362724465,0.049669362760674,2000,3.30102999566398,2000,0,60,NA,cyanodtec_stdcurves_wlsample_110821_ts_results,NA,NA,NA,NA,NA,NA
d11,cal orange 560,cyra,std-09,NA,NA,toxins,29.4165540974562,29.4000635083171,0.0233212148120243,200,2.30102999566398,200,0,60,NA,cyanodtec_stdcurves_wlsample_110821_ts_results,NA,NA,NA,NA,NA,NA
d12,cal orange 560,cyra,std-09,NA,NA,toxins,29.383572919178,29.4000635083171,0.0233212148120243,200,2.30102999566398,200,0,60,NA,cyanodtec_stdcurves_wlsample_110821_ts_results,NA,NA,NA,NA,NA,NA
e11,cal orange 560,cyra,std-10,NA,NA,toxins,32.6828939216147,32.7242923866968,0.058546270780565,20,1.30102999566398,20,0,60,NA,cyanodtec_stdcurves_wlsample_110821_ts_results,NA,NA,NA,NA,NA,NA
e12,cal orange 560,cyra,std-10,NA,NA,toxins,32.765690851779,32.7242923866968,0.058546270780565,20,1.30102999566398,20,0,60,NA,cyanodtec_stdcurves_wlsample_110821_ts_results,NA,NA,NA,NA,NA,NA
a11,cal red 610,sxta,std-06,NA,NA,toxins,18.6466438630692,18.5399588385849,0.15087540852789,200000,5.30102999566398,200000,0,60,NA,cyanodtec_stdcurves_wlsample_110821_ts_results,NA,NA,NA,NA,NA,NA
a12,cal red 610,sxta,std-06,NA,NA,toxins,18.4332738141005,18.5399588385849,0.15087540852789,200000,5.30102999566398,200000,0,60,NA,cyanodtec_stdcurves_wlsample_110821_ts_results,NA,NA,NA,NA,NA,NA
b11,cal red 610,sxta,std-07,NA,NA,toxins,21.8477899118689,21.8628671172178,0.0213223882871769,20000,4.30102999566398,20000,0,60,NA,cyanodtec_stdcurves_wlsample_110821_ts_results,NA,NA,NA,NA,NA,NA
b12,cal red 610,sxta,std-07,NA,NA,toxins,21.8779443225668,21.8628671172178,0.0213223882871769,20000,4.30102999566398,20000,0,60,NA,cyanodtec_stdcurves_wlsample_110821_ts_results,NA,NA,NA,NA,NA,NA
c11,cal red 610,sxta,std-08,NA,NA,toxins,25.2472453414963,25.2735639651736,0.0372201545474914,2000,3.30102999566398,2000,0,60,NA,cyanodtec_stdcurves_wlsample_110821_ts_results,NA,NA,NA,NA,NA,NA
c12,cal red 610,sxta,std-08,NA,NA,toxins,25.299882588851,25.2735639651736,0.0372201545474914,2000,3.30102999566398,2000,0,60,NA,cyanodtec_stdcurves_wlsample_110821_ts_results,NA,NA,NA,NA,NA,NA
d11,cal red 610,sxta,std-09,NA,NA,toxins,28.5029682994908,28.5293619857981,0.0373263091367287,200,2.30102999566398,200,0,60,NA,cyanodtec_stdcurves_wlsample_110821_ts_results,NA,NA,NA,NA,NA,NA
d12,cal red 610,sxta,std-09,NA,NA,toxins,28.5557556721053,28.5293619857981,0.0373263091367287,200,2.30102999566398,200,0,60,NA,cyanodtec_stdcurves_wlsample_110821_ts_results,NA,NA,NA,NA,NA,NA
e11,cal red 610,sxta,std-10,NA,NA,toxins,31.8682560966335,31.9423124119652,0.104731445521397,20,1.30102999566398,20,0,60,NA,cyanodtec_stdcurves_wlsample_110821_ts_results,NA,NA,NA,NA,NA,NA
e12,cal red 610,sxta,std-10,NA,NA,toxins,32.0163687272968,31.9423124119652,0.104731445521397,20,1.30102999566398,20,0,60,NA,cyanodtec_stdcurves_wlsample_110821_ts_results,NA,NA,NA,NA,NA,NA
a01,fam,total_cyano,std-01,NA,NA,16s rrna,18.641049903468,18.724960716597,0.118667809956854,200000,5.30102999566398,200000,0,60,NA,cyanodtec_stdcurves_wlsample_110821_ts_results,NA,NA,NA,NA,NA,NA
a02,fam,total_cyano,std-01,NA,NA,16s rrna,18.8088715297261,18.724960716597,0.118667809956854,200000,5.30102999566398,200000,0,60,NA,cyanodtec_stdcurves_wlsample_110821_ts_results,NA,NA,NA,NA,NA,NA
a11,fam,mcye_ndaf,std-06,NA,NA,toxins,19.2896437928849,19.2103461990743,0.112143732630623,200000,5.30102999566398,200000,0,60,NA,cyanodtec_stdcurves_wlsample_110821_ts_results,NA,NA,NA,NA,NA,NA
a12,fam,mcye_ndaf,std-06,NA,NA,toxins,19.1310486052636,19.2103461990743,0.112143732630623,200000,5.30102999566398,200000,0,60,NA,cyanodtec_stdcurves_wlsample_110821_ts_results,NA,NA,NA,NA,NA,NA
b01,fam,total_cyano,std-02,NA,NA,16s rrna,22.2935147481174,22.1626900712956,0.185014032254526,20000,4.30102999566398,20000,0,60,NA,cyanodtec_stdcurves_wlsample_110821_ts_results,NA,NA,NA,NA,NA,NA
b02,fam,total_cyano,std-02,NA,NA,16s rrna,22.0318653944737,22.1626900712956,0.185014032254526,20000,4.30102999566398,20000,0,60,NA,cyanodtec_stdcurves_wlsample_110821_ts_results,NA,NA,NA,NA,NA,NA
